LA_name,LA_code,Covid_Death_Total,Population_Density,Children,Teenagers,Adults,Middle Age Adults,Senior,Good Health,Very good health,Bad health,Very bad health,No Dimension ,one dimension,two dimensions,three dimensions,four dimensions,Economically active (excluding full-time students),Economically active and a full-time student,Economically inactive
Eastbourne,E07000061,3.11,101.69,168.26,41.89,166.84,377.97,245.03,504.96,432.28,48.64,14.16,193.78,161.28,72.64,18.51,2.32,443.52,16.31,371.89
Eastleigh,E07000086,1.3,136.45,191.37,39.11,177.73,396.6,195.19,463.89,498.23,29.96,7.9,230.11,134.04,44.21,8.43,0.4,514.34,14.9,279.36
Elmbridge,E07000207,1.92,138.76,216.06,40.37,134.21,430.49,178.87,382.24,589.09,21.89,6.76,247.84,112.61,33.45,6.31,0.39,493.73,10.75,279.44
Enfield,E09000010,2.25,329.99,220.62,50.47,192.18,400.32,136.41,444.69,506.44,36.82,12.05,154.59,130.67,61.24,18.22,1.72,454.15,18.64,306.58
Epping Forest,E07000072,2.84,134.98,185.57,40.69,172.43,406.7,194.61,440.99,518.03,31.22,9.76,206.58,134.11,51.16,11.56,0.77,501.52,11.36,301.54
Epsom and Ewell,E07000208,2.71,80.94,201.79,44.21,157.62,415.83,180.54,426.7,542.69,23.97,6.62,222.87,118.29,37.77,7.36,0.68,500.92,14.49,282.81
Erewash,E07000036,2.56,112.9,171.64,39.8,179.65,400.91,208,500.18,443.33,44.46,12.06,214.16,151.05,63.45,16.46,0.7,496.64,12.45,319.29
Exeter,E07000041,0.87,130.71,148.25,81.03,262.71,341.8,166.22,445.3,508.74,35.69,10.25,200.3,133.42,53.74,13.61,0.99,446.02,37.92,367.79
Fareham,E07000087,2.31,114.5,164.83,38.67,152.62,398.48,245.4,477.8,481.95,32.3,8.04,232.01,140.3,45.07,6.99,0.41,489.73,14.13,331.37
Fenland,E07000010,2.02,102.46,172.05,38.38,173.92,387.27,228.38,533.52,402.74,49.43,14.36,179.29,160.76,72.64,16.61,0.97,471.83,10.25,345.93
West Suffolk,E07000245,1,179.95,176.85,38.54,200.17,376.82,207.62,479.39,477.04,34.18,9.38,215.92,156.97,53.41,10.7,0.59,504.33,13.6,305.23
Forest of Dean,E07000080,1.29,87.01,160.43,48.16,152,388.73,250.68,497.24,448.13,42.09,12.52,205.71,148.97,59.86,12.65,0.56,468.43,11.73,359.39
Fylde,E07000119,3.12,81.38,148.99,35.44,138.74,398.55,278.27,482.13,459.9,44.74,13.15,234.8,156.72,57.11,12.66,0.79,445.06,13.76,392.14
Gateshead,E08000037,2.27,196.14,175.37,40.93,184.98,395.95,202.77,488.9,437.49,56.69,16.96,203.3,151.59,75.71,22.31,0.83,461.42,15.35,347.88
Gedling,E07000173,2.47,117.26,177.41,38,168.35,400.6,215.64,486.39,460.32,41.28,12.06,223.02,144.76,58.89,12.47,0.5,488.31,12.2,322.14
Gloucester,E07000081,1.84,132.41,192.4,46.17,205.19,389.22,167.03,483.31,467.35,39.06,10.32,204.78,141.2,56.75,14.56,1.16,500.83,19.95,286.86
Gosport,E07000088,1.9,81.96,179.87,40.45,174.79,391.19,213.7,512.02,433.21,43.77,10.96,201.61,156.34,64.73,14.74,0.89,481.28,13.73,325.12
Gravesham,E07000109,2.76,106.9,209.02,43.95,185.34,389.43,172.26,464.99,486.56,38.24,10.22,176.19,137.85,59.73,15.21,1.33,481.56,14.35,295.08
Great Yarmouth,E07000145,2.08,99.74,170.73,40.84,167.57,380.87,239.99,525.68,401.89,56.24,16.23,170.39,164.18,85.48,24.77,1.76,433.49,12.4,383.43
Greenwich,E09000011,1.66,289.07,205.22,43.55,245.43,401.24,104.56,426.78,527.27,35.06,10.9,190.34,126.68,57.43,18.62,1.48,512.76,24.15,257.89
Guildford,E07000209,1.53,143.65,169.14,64.29,211.43,380.02,175.12,420.53,547.67,24.58,7.25,224.04,119.06,36.98,7.48,0.61,480.97,30.21,319.72
Hackney,E09000012,1.84,259.15,191.7,43.06,316.71,369.43,79.11,383.32,566.61,36.53,13.53,184.01,133.07,65.49,24.44,2.33,542.44,20.04,245.8
Halton,E06000006,2.13,128.48,190.93,43.05,180.44,399.08,186.5,463.46,459.75,58.31,18.53,188.23,145.8,76.61,24.04,0.8,467.96,14.99,326.14
